Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Afghanistan,AFG,1980,,19716,,589136,54220,,,,
Africa (UN),,1980,,,,20164790,,,,,
Albania,ALB,1980,,71047,69535,71332,68024,,,,70291
Algeria,DZA,1980,,,,729029,,,,,
American Samoa,ASM,1980,,,,1016,,,,,
Americas (UN),,1980,,,,15036242,,,,,
Andorra,AND,1980,,,,382,,,,,
Angola,AGO,1980,,,,353560,,,,,
Anguilla,AIA,1980,,,,154,,,,,
Antigua and Barbuda,ATG,1980,,802,535,1440,,,,,
Argentina,ARG,1980,,290813,218110,671410,403173,,,,409782
Armenia,ARM,1980,,,,73599,,,,,
Aruba,ABW,1980,,,,1214,,,,,
Asia (UN),,1980,,,,73246584,,,,,
Australia,AUS,1980,,73863,38050,224669,,,,,
Austria,AUT,1980,,75985,75985,88649,,,,,75985
Azerbaijan,AZE,1980,,,,167921,,,,,
Bahamas,BHS,1980,,1840,1789,5087,,,,,
Bahrain,BHR,1980,,7372,7372,9969,4608,,4608,,
Bangladesh,BGD,1980,,,,3562256,,,,,
Barbados,BRB,1980,,2701,4457,3924,1846,,,,
Belarus,BLR,1980,,,,152742,,,,,
Belgium,BEL,1980,,115666,120536,122907,,,,,
Belize,BLZ,1980,,2550,2387,5767,1139,,,,3852
Benin,BEN,1980,,,,169046,,,,,
Bermuda,BMU,1980,,,,746,,,,,
Bhutan,BTN,1980,,887,592,17416,3106,,,,6360
Bolivia,BOL,1980,,20948,26661,208014,24757,,,,57131
Bonaire Sint Eustatius and Saba,BES,1980,,,,243,,,,,
Bosnia and Herzegovina,BIH,1980,,,,76061,,,,,
Botswana,BWA,1980,,26394,17100,39437,23420,,,,34201
Brazil,BRA,1980,,1304076,2431926,3686482,2008982,,,,1973737
British Virgin Islands,VGB,1980,,,,273,,,,,
Brunei,BRN,1980,,5093,5093,5551,4178,,,,5666
Bulgaria,BGR,1980,,131657,133001,129136,131657,,,,133001
Burkina Faso,BFA,1980,,,,310209,,,,,
Burundi,BDI,1980,,,,192713,,,,,
Cambodia,KHM,1980,,,,194720,,,,,
Cameroon,CMR,1980,,,,353441,,,,,
Canada,CAN,1980,,,,364373,,,,,
